,time,Actual Movement,Predictions,Predicted,close,close_price_next
0,2019-08-21,-1,0.5184089,1,1.10834,1.10805
1,2019-08-22,1,0.5185567,1,1.10805,1.11449
2,2019-08-23,-1,0.49432462,-1,1.11449,1.1099
3,2019-08-26,-1,0.52062523,1,1.1099,1.10891
4,2019-08-27,-1,0.51680213,1,1.10891,1.10767
5,2019-08-28,-1,0.5180945,1,1.10767,1.10566
6,2019-08-29,-1,0.5195443,1,1.10566,1.09935
7,2019-08-30,-1,0.5225377,1,1.09935,1.09688
8,2019-09-02,1,0.5225144,1,1.09688,1.09746
9,2019-09-03,1,0.496989,1,1.09746,1.10338
10,2019-09-04,1,0.49563906,1,1.10338,1.10343
11,2019-09-05,-1,0.49562302,1,1.10343,1.10244
12,2019-09-06,1,0.517091,1,1.10244,1.10455
13,2019-09-09,-1,0.49590594,1,1.10455,1.1042
14,2019-09-10,-1,0.51488954,1,1.1042,1.10097
15,2019-09-11,1,0.516295,1,1.10097,1.10634
16,2019-09-12,1,0.49492508,-1,1.10634,1.10758
17,2019-09-13,-1,0.49478945,-1,1.10758,1.10022
18,2019-09-16,1,0.51563925,1,1.10022,1.10704
19,2019-09-17,-1,0.49542573,1,1.10704,1.10278
20,2019-09-18,1,0.5146902,1,1.10278,1.10402
21,2019-09-19,-1,0.49543598,1,1.10402,1.10192
22,2019-09-20,-1,0.51484025,1,1.10192,1.09931
23,2019-09-23,1,0.51520175,1,1.09931,1.1018
24,2019-09-24,-1,0.49595004,1,1.1018,1.09425
25,2019-09-25,-1,0.5196308,1,1.09425,1.09199
26,2019-09-26,1,0.51974446,1,1.09199,1.09405
27,2019-09-27,-1,0.49559954,1,1.09405,1.0899
28,2019-09-30,1,0.5239315,1,1.0899,1.09333
29,2019-10-01,1,0.4963126,1,1.09333,1.09579
30,2019-10-02,1,0.49592018,1,1.09579,1.09639
31,2019-10-03,1,0.4956147,1,1.09639,1.09763
32,2019-10-04,-1,0.4951513,1,1.09763,1.09699
33,2019-10-07,-1,0.5177254,1,1.09699,1.09559
34,2019-10-08,1,0.5180801,1,1.09559,1.09677
35,2019-10-09,1,0.49573416,1,1.09677,1.10047
36,2019-10-10,1,0.4950023,1,1.10047,1.10352
37,2019-10-11,-1,0.49458042,-1,1.10352,1.10254
38,2019-10-14,1,0.5122797,1,1.10254,1.10333
39,2019-10-15,1,0.495311,1,1.10333,1.10729
40,2019-10-16,1,0.4947088,-1,1.10729,1.11253
41,2019-10-17,1,0.4942401,-1,1.11253,1.11699
42,2019-10-18,-1,0.4938503,-1,1.11699,1.11486
43,2019-10-21,-1,0.5100324,1,1.11486,1.11254
44,2019-10-22,1,0.5102232,1,1.11254,1.11301
45,2019-10-23,-1,0.49501374,1,1.11301,1.11037
46,2019-10-24,-1,0.5125946,1,1.11037,1.10793
47,2019-10-25,1,0.51412445,1,1.10793,1.11003
48,2019-10-28,1,0.4959126,1,1.11003,1.11117
49,2019-10-29,1,0.4956037,1,1.11117,1.11529
50,2019-10-30,-1,0.49487126,-1,1.11529,1.11515
51,2019-10-31,1,0.5113353,1,1.11515,1.11648
52,2019-11-01,-1,0.49437878,-1,1.11648,1.11303
53,2019-11-04,-1,0.5135686,1,1.11303,1.10735
54,2019-11-05,-1,0.5161377,1,1.10735,1.10662
55,2019-11-06,-1,0.5191609,1,1.10662,1.10504
56,2019-11-07,-1,0.52528095,1,1.10504,1.10188
57,2019-11-08,1,0.5284275,1,1.10188,1.10328
58,2019-11-11,-1,0.49670544,1,1.10328,1.10073
59,2019-11-12,-1,0.5278112,1,1.10073,1.10063
60,2019-11-13,1,0.5269051,1,1.10063,1.10193
61,2019-11-14,1,0.49610597,1,1.10193,1.10519
62,2019-11-15,1,0.49512345,1,1.10519,1.10722
63,2019-11-18,1,0.49579522,1,1.10722,1.10769
64,2019-11-19,-1,0.49550453,1,1.10769,1.10713
65,2019-11-20,-1,0.5183351,1,1.10713,1.10587
66,2019-11-21,-1,0.51874214,1,1.10587,1.1019
67,2019-11-22,-1,0.52223533,1,1.1019,1.1011
68,2019-11-25,1,0.5215995,1,1.1011,1.10229
69,2019-11-26,-1,0.49642363,1,1.10229,1.09983
70,2019-11-27,1,0.52446854,1,1.09983,1.10081
71,2019-11-28,1,0.4959987,1,1.10081,1.10208
72,2019-11-29,1,0.4954709,1,1.10208,1.10787
73,2019-12-02,1,0.4955483,1,1.10787,1.10802
74,2019-12-03,-1,0.49550825,1,1.10802,1.10759
75,2019-12-04,1,0.51437384,1,1.10759,1.11039
76,2019-12-05,-1,0.49468285,-1,1.11039,1.10595
77,2019-12-06,1,0.5157475,1,1.10595,1.10646
78,2019-12-09,1,0.49621877,1,1.10646,1.10956
79,2019-12-10,1,0.4955497,1,1.10956,1.11287
80,2019-12-11,1,0.49504718,1,1.11287,1.11331
81,2019-12-12,-1,0.4948508,-1,1.11331,1.11173
82,2019-12-13,1,0.51322716,1,1.11173,1.11415
83,2019-12-16,1,0.49542293,1,1.11415,1.11491
84,2019-12-17,-1,0.4951844,1,1.11491,1.11149
85,2019-12-18,1,0.51593703,1,1.11149,1.11181
86,2019-12-19,-1,0.49545565,1,1.11181,1.10751
87,2019-12-20,1,0.5204343,1,1.10751,1.10894
88,2019-12-23,-1,0.4964199,1,1.10894,1.10851
89,2019-12-24,1,0.5224387,1,1.10851,1.1096
90,2019-12-26,1,0.49557137,1,1.1096,1.1176
91,2019-12-27,1,0.4943104,-1,1.1176,1.11995
