time,Actual Movement,close,Predictions,Predicted
2019-08-21,-1,1.10834,0.5184089,1
2019-08-22,1,1.10805,0.5185567,1
2019-08-23,-1,1.11449,0.49432462,-1
2019-08-26,-1,1.1099,0.52062523,1
2019-08-27,-1,1.10891,0.51680213,1
2019-08-28,-1,1.10767,0.5180945,1
2019-08-29,-1,1.10566,0.5195443,1
2019-08-30,-1,1.09935,0.5225377,1
2019-09-02,1,1.09688,0.5225144,1
2019-09-03,1,1.09746,0.496989,1
2019-09-04,1,1.10338,0.49563906,1
2019-09-05,-1,1.10343,0.49562302,1
2019-09-06,1,1.10244,0.517091,1
2019-09-09,-1,1.10455,0.49590594,1
2019-09-10,-1,1.1042,0.51488954,1
2019-09-11,1,1.10097,0.516295,1
2019-09-12,1,1.10634,0.49492508,-1
2019-09-13,-1,1.10758,0.49478945,-1
2019-09-16,1,1.10022,0.51563925,1
2019-09-17,-1,1.10704,0.49542573,1
2019-09-18,1,1.10278,0.5146902,1
2019-09-19,-1,1.10402,0.49543598,1
2019-09-20,-1,1.10192,0.51484025,1
2019-09-23,1,1.09931,0.51520175,1
2019-09-24,-1,1.1018,0.49595004,1
2019-09-25,-1,1.09425,0.5196308,1
2019-09-26,1,1.09199,0.51974446,1
2019-09-27,-1,1.09405,0.49559954,1
2019-09-30,1,1.0899,0.5239315,1
2019-10-01,1,1.09333,0.4963126,1
2019-10-02,1,1.09579,0.49592018,1
2019-10-03,1,1.09639,0.4956147,1
2019-10-04,-1,1.09763,0.4951513,1
2019-10-07,-1,1.09699,0.5177254,1
2019-10-08,1,1.09559,0.5180801,1
2019-10-09,1,1.09677,0.49573416,1
2019-10-10,1,1.10047,0.4950023,1
2019-10-11,-1,1.10352,0.49458042,-1
2019-10-14,1,1.10254,0.5122797,1
2019-10-15,1,1.10333,0.495311,1
2019-10-16,1,1.10729,0.4947088,-1
2019-10-17,1,1.11253,0.4942401,-1
2019-10-18,-1,1.11699,0.4938503,-1
2019-10-21,-1,1.11486,0.5100324,1
2019-10-22,1,1.11254,0.5102232,1
2019-10-23,-1,1.11301,0.49501374,1
2019-10-24,-1,1.11037,0.5125946,1
2019-10-25,1,1.10793,0.51412445,1
2019-10-28,1,1.11003,0.4959126,1
2019-10-29,1,1.11117,0.4956037,1
2019-10-30,-1,1.11529,0.49487126,-1
2019-10-31,1,1.11515,0.5113353,1
2019-11-01,-1,1.11648,0.49437878,-1
2019-11-04,-1,1.11303,0.5135686,1
2019-11-05,-1,1.10735,0.5161377,1
2019-11-06,-1,1.10662,0.5191609,1
2019-11-07,-1,1.10504,0.52528095,1
2019-11-08,1,1.10188,0.5284275,1
2019-11-11,-1,1.10328,0.49670544,1
2019-11-12,-1,1.10073,0.5278112,1
2019-11-13,1,1.10063,0.5269051,1
2019-11-14,1,1.10193,0.49610597,1
2019-11-15,1,1.10519,0.49512345,1
2019-11-18,1,1.10722,0.49579522,1
2019-11-19,-1,1.10769,0.49550453,1
2019-11-20,-1,1.10713,0.5183351,1
2019-11-21,-1,1.10587,0.51874214,1
2019-11-22,-1,1.1019,0.52223533,1
2019-11-25,1,1.1011,0.5215995,1
2019-11-26,-1,1.10229,0.49642363,1
2019-11-27,1,1.09983,0.52446854,1
2019-11-28,1,1.10081,0.4959987,1
2019-11-29,1,1.10208,0.4954709,1
2019-12-02,1,1.10787,0.4955483,1
2019-12-03,-1,1.10802,0.49550825,1
2019-12-04,1,1.10759,0.51437384,1
2019-12-05,-1,1.11039,0.49468285,-1
2019-12-06,1,1.10595,0.5157475,1
2019-12-09,1,1.10646,0.49621877,1
2019-12-10,1,1.10956,0.4955497,1
2019-12-11,1,1.11287,0.49504718,1
2019-12-12,-1,1.11331,0.4948508,-1
2019-12-13,1,1.11173,0.51322716,1
2019-12-16,1,1.11415,0.49542293,1
2019-12-17,-1,1.11491,0.4951844,1
2019-12-18,1,1.11149,0.51593703,1
2019-12-19,-1,1.11181,0.49545565,1
2019-12-20,1,1.10751,0.5204343,1
2019-12-23,-1,1.10894,0.4964199,1
2019-12-24,1,1.10851,0.5224387,1
2019-12-26,1,1.1096,0.49557137,1
2019-12-27,1,1.1176,0.4943104,-1
2019-12-30,1,1.11995,0.4952673,1
2019-12-31,-1,1.12171,0.494839,-1
2020-01-02,-1,1.11715,0.5063128,1
2020-01-03,1,1.11559,0.50592124,1
2020-01-06,-1,1.11977,0.49484083,-1
2020-01-07,-1,1.11471,0.5090998,1
2020-01-08,1,1.11049,0.5094393,1
2020-01-09,1,1.11056,0.49510235,1
2020-01-10,1,1.11213,0.49452105,-1
2020-01-13,-1,1.11345,0.49514967,1
2020-01-14,1,1.11265,0.5095236,1
2020-01-15,-1,1.11499,0.49455416,-1
2020-01-16,-1,1.11358,0.50866383,1
2020-01-17,1,1.10895,0.5110818,1
2020-01-20,-1,1.10968,0.4953808,1
2020-01-21,1,1.10812,0.5116676,1
2020-01-22,-1,1.10945,0.49484497,-1
2020-01-23,-1,1.10587,0.5134143,1
2020-01-24,-1,1.1026,0.5140323,1
2020-01-27,1,1.10192,0.51329947,1
2020-01-28,-1,1.10221,0.49579832,1
2020-01-29,1,1.10084,0.5138806,1
2020-01-30,1,1.10316,0.49492007,-1
2020-01-31,-1,1.10948,0.49373606,-1
2020-02-03,-1,1.10607,0.51064295,1
2020-02-04,-1,1.10447,0.5100378,1
2020-02-05,-1,1.0999,0.5116031,1
2020-02-06,-1,1.09807,0.5123221,1
2020-02-07,-1,1.09429,0.51571673,1
2020-02-10,1,1.09106,0.5153658,1
2020-02-11,-1,1.0917,0.49603608,1
2020-02-12,-1,1.08716,0.51714665,1
2020-02-13,-1,1.08398,0.51683664,1
2020-02-14,1,1.08306,0.51785547,1
2020-02-17,-1,1.08351,0.49665952,1
2020-02-18,1,1.07927,0.51831543,1
2020-02-19,-1,1.08069,0.49607944,1
2020-02-20,1,1.07832,0.5180515,1
2020-02-21,1,1.08476,0.49460194,-1
2020-02-24,1,1.08522,0.4957454,1
2020-02-25,-1,1.08815,0.4952016,1
2020-02-26,1,1.08784,0.510116,1
2020-02-27,1,1.09998,0.49395654,-1
2020-02-28,1,1.10293,0.49402386,-1
2020-03-02,1,1.11313,0.49466544,-1
2020-03-03,-1,1.11691,0.49456024,-1
2020-03-04,1,1.11335,0.5063357,1
2020-03-05,1,1.12424,0.49382877,-1
2020-03-06,1,1.12902,0.49360526,-1
2020-03-09,-1,1.14412,0.4940874,-1
2020-03-10,-1,1.12828,0.50961334,1
2020-03-11,-1,1.12718,0.50701755,1
2020-03-12,-1,1.11732,0.5098899,1
2020-03-13,1,1.11025,0.51075596,1
2020-03-16,-1,1.11698,0.4953023,1
2020-03-17,-1,1.09964,0.5154055,1
2020-03-18,-1,1.09099,0.51376265,1
2020-03-19,1,1.06864,0.5205332,1
2020-03-20,1,1.06935,0.4956055,1
2020-03-23,1,1.07259,0.4966731,1
2020-03-24,1,1.07965,0.4960299,1
2020-03-25,1,1.08844,0.49548814,1
2020-03-26,1,1.10335,0.4945683,-1
2020-03-27,-1,1.11431,0.49414933,-1
2020-03-30,-1,1.10413,0.51160187,1
2020-03-31,-1,1.10348,0.5093415,1
2020-04-01,-1,1.09658,0.5114111,1
2020-04-02,-1,1.08592,0.51290584,1
2020-04-03,-1,1.08127,0.51367116,1
2020-04-06,1,1.07909,0.5144348,1
2020-04-07,-1,1.08906,0.49565694,1
2020-04-08,1,1.0854,0.51453775,1
2020-04-09,1,1.09326,0.49497426,1
2020-04-10,-1,1.09345,0.4950324,1
2020-04-13,1,1.09091,0.51159436,1
2020-04-14,-1,1.0982,0.49520838,1
2020-04-15,-1,1.09126,0.5130198,1
2020-04-16,1,1.08387,0.5136864,1
2020-04-17,-1,1.08739,0.4949488,-1
2020-04-20,-1,1.08641,0.51413,1
