time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2008-04-29,10.4659,10.5415,10.4659,10.534,4894,0,0,10.635397999999999,10.8369375,10.610151640014303,10.8369375,10.484832225025293,10.520617080448966,10.50304,10.595370502002517,10.410709497997484,10.426780414224433,10.471241666666666,10.515702919108898,-0.047572177759779066,-0.056730250548806385,55.85,68.68,37.547408343868454,22.282682223141354,10.4658,0.6516463146630125,0.0956406970294088,1
2008-04-30,10.5345,10.539,10.4564,10.4845,4126,0,0,10.629653999999999,10.8355475,10.605224124719625,10.83343065920398,10.484765780020235,10.517333709499061,10.498825,10.58633344245007,10.411316557549931,10.430452457925615,10.474116666666667,10.51778087540772,-0.04455534960437468,-0.05429527035992005,46.16,49.91,46.681798724326974,33.25269116067248,10.534,-0.4699069679134249,0.6516463146630125,-1
2008-05-01,10.4837,10.508,10.477,10.4845,2041,0,0,10.623378,10.833790999999998,10.600489845318856,10.82995871234623,10.484712624016188,10.51434882681733,10.49567,10.580423480164754,10.410916519835247,10.4349911456309,10.477158333333334,10.519325521035768,-0.04168398452986111,-0.051773013193908264,46.16,49.91,55.165201569865964,46.464802879353805,10.4845,0.0,-0.4699069679134249,0
2008-05-02,10.4837,10.4879,10.4402,10.4568,3534,0,0,10.617194000000001,10.831824999999998,10.594854949424,10.826245690332835,10.47913009921295,10.50911711528848,10.490535000000001,10.571559694384108,10.409510305615894,10.434735978215285,10.477033333333333,10.519330688451381,-0.04116899497541482,-0.049652209550209575,41.1,40.28,41.29819952547465,47.715066606555865,10.4845,-0.26419953264343876,0.0,-1
2008-05-05,10.4533,10.475999999999999,10.4523,10.4717,2387,0,0,10.611237999999998,10.8293535,10.590025343564236,10.822717872518577,10.47764407937036,10.505715559353163,10.486815,10.564036144125415,10.409593855874585,10.435492204943882,10.477549999999999,10.519607795056116,-0.039107746806255506,-0.04754331700141876,44.76,47.14,39.066551426102,45.176650840480875,10.4568,0.14249101063423808,-0.26419953264343876,1
2008-05-06,10.473,10.5043,10.4635,10.4963,3863,0,0,10.606696,10.826982500000002,10.58634983989505,10.819469933488543,10.48137526349629,10.504859599411965,10.48372,10.553888500055498,10.413551499944502,10.436439694224871,10.4792,10.52196030577513,-0.03508474329131772,-0.045051602259398554,50.48,57.26,42.46614808412542,40.943633011900694,10.4717,0.2349188765911947,0.14249101063423808,1
2008-05-07,10.4955,10.5563,10.493,10.5468,4917,0,0,10.603832,10.8251565,10.584798865781519,10.816756799821992,10.494460210797033,10.508672363101786,10.48266,10.548191043025717,10.417128956974281,10.433488876734462,10.480783333333333,10.528077789932205,-0.027504501297661577,-0.04154218206705116,60.03,71.35,64.44177315932428,48.65815755651723,10.4963,0.4811219191524607,0.2349188765911947,1
2008-05-08,10.5469,10.5788,10.524000000000001,10.5705,4761,0,0,10.601904,10.823071500000001,10.58423812594695,10.814306483405852,10.509668168637628,10.51429305736526,10.4847,10.558036839310393,10.411363160689607,10.428047477462652,10.488225,10.548402522537348,-0.019361525361917487,-0.03710605072602442,63.72,75.99,82.74297282866662,63.216964690705446,10.5468,0.22471270906814222,0.4811219191524607,1
2008-05-09,10.568200000000001,10.584,10.5528,10.5573,3520,0,0,10.598916,10.821143,10.583181728850992,10.811749204964004,10.519194534910103,10.518202779422964,10.486165,10.563939553036569,10.40839044696343,10.430921794797085,10.496125000000001,10.561328205202917,-0.0138140482001603,-0.032447650220851595,60.23,68.29,90.13936649830278,79.10803749543123,10.5705,-0.1248758336880873,0.22471270906814222,-1
2008-05-12,10.5615,10.564,10.4643,10.4704,4634,0,0,10.594593999999999,10.818781000000001,10.578758915954875,10.808352695461874,10.509435627928083,10.513857072202693,10.487185,10.563558065278526,10.410811934721474,10.44022809536919,10.499533333333334,10.558838571297478,-0.01624250286601736,-0.02920662074988475,42.86,37.23,68.62998493399304,80.50410808698749,10.5573,-0.8231271253066552,-0.1248758336880873,-1
