Pair,Probability,TotalProfit,CountPositiveReset,CountNegativeReset
NZDJPY,100.0,2310.3999999999933,2,0
GBPUSD,100.0,2735.2999999999897,2,0
USDJPY,100.0,3862.2999999999447,3,0
CADJPY,66.66666666666666,1546.4000000000042,2,1
EURUSD,66.66666666666666,835.4000000000447,2,1
AUDJPY,60.0,1338.3000000000204,3,2
AUDNZD,0.0,108.20000000000931,0,0
NZDUSD,0.0,148.20000000000772,0,0
