time,Actual Movement,close,Predictions,Predicted
2020-05-29,1,1.11078,0.503023,1
2020-06-01,1,1.1133,0.50300163,1
2020-06-02,1,1.11679,0.5033133,1
2020-06-03,1,1.12324,0.5031527,1
2020-06-04,-1,1.13346,0.50319344,1
2020-06-05,1,1.12879,0.5030002,1
2020-06-08,1,1.1292,0.50269616,1
2020-06-09,1,1.13375,0.50247407,1
2020-06-10,-1,1.13747,0.5024698,1
2020-06-11,-1,1.12997,0.50262964,1
2020-06-12,1,1.12607,0.5031481,1
2020-06-15,-1,1.13213,0.5034144,1
2020-06-16,-1,1.12613,0.5036748,1
2020-06-17,-1,1.12429,0.5039332,1
2020-06-18,-1,1.12058,0.50393206,1
2020-06-19,1,1.11769,0.50378925,1
2020-06-22,1,1.12652,0.5041227,1
2020-06-23,-1,1.13067,0.50438285,1
2020-06-24,-1,1.12486,0.5043089,1
2020-06-25,1,1.12178,0.50460184,1
2020-06-26,1,1.12182,0.50438434,1
2020-06-29,-1,1.12418,0.50438935,1
2020-06-30,1,1.12342,0.504082,1
2020-07-01,-1,1.12515,0.5037882,1
2020-07-02,1,1.12397,0.50361454,1
2020-07-03,1,1.12475,0.5030681,1
2020-07-06,-1,1.13082,0.50278735,1
2020-07-07,1,1.12725,0.5027102,1
2020-07-08,-1,1.13308,0.5026248,1
2020-07-09,1,1.12833,0.5029421,1
2020-07-10,1,1.12969,0.50321925,1
2020-07-13,1,1.13417,0.50356525,1
2020-07-14,1,1.13977,0.5039159,1
2020-07-15,-1,1.1412,0.5041365,1
2020-07-16,1,1.13832,0.50421715,1
2020-07-17,1,1.14262,0.50452065,1
2020-07-20,1,1.14481,0.50508636,1
2020-07-21,1,1.15225,0.505617,1
2020-07-22,1,1.15693,0.50601053,1
2020-07-23,1,1.15962,0.5062707,1
2020-07-24,1,1.16552,0.50656193,1
2020-07-27,-1,1.1751,0.50678325,1
2020-07-28,1,1.17168,0.5068923,1
2020-07-29,1,1.17924,0.5066331,1
2020-07-30,-1,1.18479,0.5062954,1
2020-07-31,-1,1.17721,0.50599736,1
2020-08-03,1,1.17651,0.5054355,1
2020-08-04,1,1.18016,0.5050925,1
2020-08-05,1,1.18647,0.5050674,1
2020-08-06,-1,1.18775,0.5051759,1
2020-08-07,-1,1.17859,0.5054757,1
2020-08-10,1,1.1737,0.505561,1
2020-08-11,1,1.17398,0.50551647,1
2020-08-12,1,1.17871,0.5048108,1
2020-08-13,1,1.1815,0.50381845,1
2020-08-14,1,1.18413,0.5030018,1
2020-08-17,1,1.18721,0.50238276,1
