,current_price,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
0,1.2747899999999999,2024-01-24 19:00:00,open,short,1.2747899999999999,,,9999.9998,0.0,0.0
1,1.2729599999999999,2024-01-24 20:00:00,hold,short,,,,9999.9998,-0.24020000000024003,2.1797999999998487
2,1.27252,2024-01-24 21:00:00,hold,short,,,,9999.9998,1.5695999999996273,5.649599999999711
3,1.27161,2024-01-24 22:00:00,hold,short,,,,9999.9998,3.2793999999995056,8.949399999999569
4,1.27246,2024-01-24 23:00:00,hold,short,,,,9999.9998,5.599199999999383,12.319199999999443
5,1.27224,2024-01-25 00:00:00,hold,short,,,,9999.9998,2.1797999999998487,3.0397999999999317
6,1.27175,2024-01-25 01:00:00,hold,short,,,,9999.9998,4.349599999999854,6.179599999999852
7,1.2706,2024-01-25 02:00:00,hold,short,,,,9999.9998,7.249399999999756,10.509399999999797
8,1.2711999999999999,2024-01-25 03:00:00,hold,short,,,,9999.9998,10.63919999999976,14.95919999999964
9,1.2711999999999999,2024-01-25 04:00:00,hold,short,,,,9999.9998,13.97899999999966,18.8689999999995
10,1.27129,2024-01-25 05:00:00,hold,short,,,,9999.9998,17.048799999999567,22.508799999999365
11,1.27102,2024-01-25 06:00:00,hold,short,,,,9999.9998,20.128599999999317,26.418599999999223
12,1.27102,2024-01-25 07:00:00,hold,short,,,,9999.9998,23.768399999999183,30.498399999999084
13,1.27238,2024-01-25 08:00:00,hold,short,,,,9999.9998,26.02819999999911,34.40819999999894
14,1.27321,2024-01-25 09:00:00,hold,short,,,,9999.9998,27.427999999998956,37.33799999999882
15,1.27274,2024-01-25 10:00:00,hold,short,,,,9999.9998,28.5377999999989,40.147799999998576
16,1.2726,2024-01-25 11:00:00,hold,short,,,,9999.9998,29.777599999998806,42.81759999999853
17,1.27356,2024-01-25 12:00:00,hold,short,,,,9999.9998,30.31739999999879,45.04739999999848
18,1.27328,2024-01-25 13:00:00,hold,short,,,,9999.9998,31.53719999999879,47.59719999999831
19,1.2725,2024-01-25 14:00:00,hold,short,,,,9999.9998,32.73699999999866,50.36699999999825
20,1.2736,2024-01-25 15:00:00,hold,short,,,,9999.9998,33.48679999999847,55.44679999999822
21,1.27234,2024-01-25 16:00:00,hold,short,,,,9999.9998,34.67659999999827,59.92659999999804
22,1.2699799999999999,2024-01-25 17:00:00,hold,short,,,,9999.9998,36.75639999999812,65.20639999999798
23,1.26965,2024-01-25 18:00:00,hold,short,,,,9999.9998,41.23619999999794,70.93619999999777
