,time,open,high,low,close,tick_volume,spread,real_volume,Close_pct_change,candle_type,rolling_max_high,rolling_min_low,Gap,Gap_Valid,Gap_Direction,Gap_Zone_High_Low,Gap_Touched,Gap_Closed_Inside,Gap_Zone_High,Gap_Zone_Low,Gap_Closed_Inside_Direction
0,2024-01-24 00:00:00,1.26741,1.26877,1.26741,1.26831,2932,5,0,,1,1.26877,1.26741,False,False,,,False,False,,,
1,2024-01-24 01:00:00,1.2683,1.2694,1.26818,1.26912,950,2,0,0.0006386451261914949,1,1.2694,1.26741,False,False,,,False,False,,,
2,2024-01-24 02:00:00,1.26912,1.26979,1.26889,1.26942,1883,2,0,0.00023638426626315656,1,1.26979,1.26741,False,False,,,False,False,,,
3,2024-01-24 03:00:00,1.26942,1.26976,1.26881,1.26924,2354,2,0,0.0001417970411684566,-1,1.26979,1.26741,False,False,,,False,False,,,
4,2024-01-24 04:00:00,1.26924,1.26929,1.26854,1.2690299999999999,1819,2,0,0.00016545334215756213,-1,1.26979,1.26741,False,False,,,False,False,,,
5,2024-01-24 05:00:00,1.2690299999999999,1.27002,1.26899,1.26965,1758,2,0,0.0004885621301309317,1,1.27002,1.26741,False,False,,,False,False,,,
6,2024-01-24 06:00:00,1.26966,1.27042,1.2696,1.27026,982,2,0,0.0004804473673847287,1,1.27042,1.26741,False,False,,,False,False,,,
7,2024-01-24 07:00:00,1.27026,1.27041,1.2695699999999999,1.27023,1417,2,0,2.361721222421398e-05,-1,1.27042,1.26741,False,False,,,False,False,,,
8,2024-01-24 08:00:00,1.27023,1.2707899999999999,1.2699799999999999,1.27029,1968,2,0,4.723554002028507e-05,1,1.2707899999999999,1.26741,False,False,,,False,False,,,
9,2024-01-24 09:00:00,1.27029,1.27128,1.2699500000000001,1.27046,3523,2,0,0.00013382770863357152,1,1.27128,1.26741,False,False,,,False,False,,,
10,2024-01-24 10:00:00,1.27046,1.27186,1.27041,1.27094,5518,2,0,0.0003778159091982758,1,1.27186,1.26818,False,False,,,False,False,,,
11,2024-01-24 11:00:00,1.27095,1.2772999999999999,1.27089,1.27643,4883,2,0,0.004319637433710444,1,1.2772999999999999,1.26854,True,False,,,False,False,,,
12,2024-01-24 12:00:00,1.2764199999999999,1.27695,1.27493,1.27534,3798,2,0,0.0008539442037558409,-1,1.2772999999999999,1.26854,False,False,Bullish,"(1.27186, 1.27493)",False,False,,,
13,2024-01-24 13:00:00,1.27533,1.27553,1.27381,1.27403,2934,2,0,0.0010271770665076785,-1,1.2772999999999999,1.26854,False,False,,,False,False,,,
