,time,action,position,entry_price,close_price,profit,balance
0,2021-01-07,open,short,0.98547,,,9999.9998
1,2021-01-08,close,neutral,,0.9856,-1.300000000000745,9998.699599999998
2,2021-01-08,open,long,0.9856,,,9998.699399999998
3,2021-01-11,close,neutral,,0.98399,-16.1,9982.599199999997
4,2021-01-11,open,short,0.98399,,,9982.598999999997
5,2021-01-12,close,neutral,,0.98837,-43.79999999999939,9938.798799999997
6,2021-01-12,open,long,0.98837,,,9938.798599999996
7,2021-01-13,close,neutral,,0.98248,-58.89999999999951,9879.898399999996
8,2021-01-13,open,short,0.98248,,,9879.898199999996
9,2021-01-21,close,neutral,,0.98132,11.600000000000499,9891.497999999996
10,2021-01-21,open,long,0.98132,,,9891.497799999996
11,2021-01-27,close,neutral,,0.98103,-2.9000000000001247,9888.597599999996
12,2021-01-27,open,short,0.98103,,,9888.597399999995
13,2021-01-28,close,neutral,,0.98488,-38.5000000000002,9850.097199999995
14,2021-01-28,open,long,0.98488,,,9850.096999999994
15,2021-01-29,close,neutral,,0.97664,-82.40000000000025,9767.696799999994
16,2021-01-29,open,short,0.97664,,,9767.696599999994
17,2021-02-01,close,neutral,,0.97983,-31.90000000000026,9735.796399999994
18,2021-02-01,open,long,0.97983,,,9735.796199999993
19,2021-02-02,close,neutral,,0.97283,-70.00000000000006,9665.795999999993
20,2021-02-02,open,short,0.97283,,,9665.795799999993
21,2021-02-03,close,neutral,,0.97452,-16.9000000000008,9648.895599999993
22,2021-02-03,open,long,0.97452,,,9648.895399999992
23,2021-02-04,close,neutral,,0.97455,0.2999999999997449,9649.195199999991
24,2021-02-04,open,short,0.97455,,,9649.19499999999
25,2021-02-05,close,neutral,,0.97963,-50.799999999999734,9598.394799999991
26,2021-02-05,open,long,0.97963,,,9598.39459999999
27,2021-02-10,close,neutral,,0.98043,8.00000000000023,9606.39439999999
28,2021-02-10,open,short,0.98043,,,9606.39419999999
29,2021-02-11,close,neutral,,0.98503,-45.999999999999375,9560.393999999991
30,2021-02-11,open,long,0.98503,,,9560.39379999999
31,2021-02-12,close,neutral,,0.98497,-0.5999999999994898,9559.793599999992
32,2021-02-12,open,short,0.98497,,,9559.793399999991
33,2021-02-19,close,neutral,,0.99267,-77.0000000000004,9482.793199999991
34,2021-02-19,open,long,0.99267,,,9482.79299999999
35,2021-02-23,close,neutral,,0.99602,33.499999999999645,9516.29279999999
36,2021-02-23,open,short,0.99602,,,9516.29259999999
37,2021-02-24,close,neutral,,0.99726,-12.400000000000189,9503.89239999999
38,2021-02-24,open,long,0.99726,,,9503.89219999999
39,2021-02-25,close,neutral,,0.99278,-44.800000000000395,9459.09199999999
40,2021-02-25,open,short,0.99278,,,9459.09179999999
41,2021-03-01,close,neutral,,0.9826,101.79999999999967,9560.891599999988
42,2021-03-01,open,long,0.9826,,,9560.891399999988
43,2021-03-03,close,neutral,,0.98401,14.100000000000223,9574.991199999988
44,2021-03-03,open,short,0.98401,,,9574.990999999987
45,2021-03-09,close,neutral,,0.97596,80.50000000000001,9655.490799999987
46,2021-03-09,open,long,0.97596,,,9655.490599999986
47,2021-03-12,close,neutral,,0.96827,-76.90000000000086,9578.590399999986
48,2021-03-12,open,short,0.96827,,,9578.590199999986
49,2021-03-17,close,neutral,,0.96719,10.799999999999699,9589.389999999985
50,2021-03-17,open,long,0.96719,,,9589.389799999984
51,2021-03-19,close,neutral,,0.96868,14.899999999999913,9604.289599999984
52,2021-03-19,open,short,0.96868,,,9604.289399999983
53,2021-03-22,close,neutral,,0.96972,-10.400000000000409,9593.889199999983
54,2021-03-22,open,long,0.96972,,,9593.888999999983
55,2021-03-23,close,neutral,,0.95957,-101.49999999999993,9492.388799999982
56,2021-03-23,open,short,0.95957,,,9492.388599999982
57,2021-03-25,close,neutral,,0.95605,35.200000000000784,9527.588399999982
58,2021-03-25,open,long,0.95605,,,9527.588199999982
59,2021-03-30,close,neutral,,0.95909,30.400000000000425,9557.987999999983
60,2021-03-30,open,short,0.95909,,,9557.987799999983
61,2021-04-01,close,neutral,,0.95603,30.59999999999952,9588.587599999983
62,2021-04-01,open,long,0.95603,,,9588.587399999982
63,2021-04-07,close,neutral,,0.95977,37.39999999999966,9625.987199999981
64,2021-04-07,open,short,0.95977,,,9625.986999999981
65,2021-04-08,close,neutral,,0.96154,-17.699999999999385,9608.286799999982
66,2021-04-08,open,long,0.96154,,,9608.286599999981
67,2021-04-09,close,neutral,,0.9548,-67.39999999999968,9540.886399999981
68,2021-04-09,open,short,0.9548,,,9540.88619999998
